"","X","domain","tote_seite","catkey","category"
"1",1,"unschuldsvermutung.de",NA,"P13100","P"
"2",2,"haefner-k.de",NA,"P01100","P"
"3",3,"sonnenfluesterer.de",NA,"P07100","P"
"4",4,"vstrauss.com",NA,"P10100","P"
"5",5,"monsterli.ch",NA,"P11100","P"
"6",6,"bienenstube.net",NA,"P07100","P"
"7",7,"joekraus.de",NA,"P01100","P"
"8",8,"ute-und-frank-kiefer.de",NA,"P02100","P"
"9",9,"chl-burkhardt.net",NA,"P11100","P"
"10",10,"4kant.com",NA,"P11100","P"
"11",11,"goldenretriever-zwinger.de",NA,"P12100","P"
"12",12,"klog.kfiles.de",NA,"P11100","P"
"13",13,"joergthomas.de",NA,"P07100","P"
"14",14,"schroederweb.de",NA,NA,"K"
"15",15,"frankkl.de",NA,"P01100","P"
"16",16,"frechener.de",NA,NA,"K"
"17",17,"taschenblog.de",NA,"P05100","P"
"18",18,"total.gmxhome.de",NA,NA,"K"
"19",19,"runck.de",NA,"P02100","P"
"20",20,"pc-blog-berlin.de",NA,"P05100","P"
"21",21,"muessig-berlin.de",NA,"P03100","P"
"22",22,"newsbusters.de",NA,"P05100","P"
"23",23,"harmes.de",NA,"P07100","P"
"24",24,"gaebert.de",NA,"P01100","P"
"25",25,"blueml.com",NA,"P01100","P"
"26",26,"canehl.com",NA,NA,"K"
"27",27,"endl.de",NA,"P01100","P"
"28",28,"christian-reiter.de",NA,"P01100","P"
"29",29,"setter-claim-to-glory.de",NA,"P12100","P"
"30",30,"getmad.de",NA,"P07100","P"
"31",31,"markus-letzner.de",NA,NA,"K"
"32",32,"barasinski.de",NA,"P02100","P"
"33",33,"baumdicker.de",NA,"P01100","P"
"34",34,"trurl.net",NA,"P03100","P"
"35",35,"schlopschnat.de",NA,"P02100","P"
"36",36,"jakobsweg-ab-frankfurt.de",NA,"P07100","P"
"37",37,"foren-liste.de",NA,NA,"K"
"38",38,"sabine.muehlisch.koerpersprache.homepage.ms",NA,NA,"K"
"39",39,"aplitsch.com",NA,"P05100","P"
"40",40,"hagenlehmann.com",NA,"P01100","P"
"41",41,"behrens-hh.de",NA,"P02100","P"
"42",42,"clairweb.de",NA,"P11100","P"
"43",43,"klamonfra.de",NA,"P02100","P"
"44",44,"diedlife.org",NA,"P11100","P"
"45",45,"rechtsprversagt.de",NA,"P05100","P"
"46",46,"luftschiffarchiv.de",NA,"P05100","P"
"47",47,"danyonlloyd.com",NA,"P13100","P"
"48",48,"schriever.gmxhome.de",NA,"P01100","P"
"49",49,"vauban-segeln.de",NA,"P05100","P"
"50",50,"sternmoney.jimdo.com",NA,"P05100","P"
"51",51,"ostfriese-online.de",NA,"P10100","P"
"52",52,"gadgetblog.ch",NA,NA,"K"
"53",53,"barbaraundjoe.de",NA,"P02100","P"
"54",54,"gendat.de",NA,"P05100","P"
"55",55,"golzmaas.de",NA,"P09100","P"
"56",56,"chatterjee.eu",NA,"P02100","P"
"57",57,"kleibel.de",NA,"P11100","P"
"58",58,"gettoweb.de",NA,"P07100","P"
"59",59,"kubicek.org",NA,"P11100","P"
"60",60,"kohnen.info",NA,"P08100","P"
"61",61,"schorch.at",NA,"P05100","P"
"62",62,"detlef-henke.de",NA,"P07100","P"
"63",63,"dudzik.info",NA,"P02100","P"
"64",64,"klebow.de",NA,"P11100","P"
"65",65,"spareribsvernichter.de",NA,"P05100","P"
"66",66,"nachbarschaftliches-wohnen.de",NA,"P05100","P"
"67",67,"gertrud-schuster.de",NA,"P03100","P"
"68",68,"d0wn.biz",NA,"P07100","P"
"69",69,"geheimesleben.de",NA,"P07100","P"
"70",70,"hollybike.de",NA,"P11100","P"
"71",71,"k-kassem.de",NA,"P01100","P"
"72",72,"holgermuench.de",NA,"P01100","P"
"73",73,"lexasleben.de",NA,"P07100","P"
"74",74,"matousek.biz",NA,"P01100","P"
"75",75,"tiberius.de",NA,"P05100","P"
"76",76,"huettenburger.berlin",NA,"P09100","P"
"77",77,"hjcaspar.de",NA,"P11100","P"
"78",78,"ole-bahlmann.de",NA,"P11100","P"
"79",79,"wichtner.de",NA,"P02100","P"
"80",80,"wortkarussell.de",NA,"P05100","P"
"81",81,"europe-cam.com",NA,"P03100","P"
"82",82,"sarah-steinmeyer.de",NA,"P11100","P"
"83",83,"izsak.de",NA,"P02100","P"
"84",84,"tkkj.de",NA,"P02100","P"
"85",85,"achimthepooh.de",NA,"P01100","P"
"86",86,"hoernke.com",NA,NA,"K"
"87",87,"edenhofer.org",NA,"P02100","P"
"88",88,"bjoerntanneberger.de",NA,"P01100","P"
"89",89,"schulzewehninck.de",NA,"P01100","P"
"90",90,"frerichmann.com",NA,"P07100","P"
"91",91,"vetter-mz.de",NA,"P05100","P"
"92",92,"belfor-online.de",NA,"P02100","P"
"93",93,"haerti.de",NA,"P07100","P"
"94",94,"lupulin.de",NA,"P11100","P"
"95",95,"be-mu.de",NA,"P01100","P"
"96",96,"shih-tzu-beyer.de",NA,"P05100","P"
"97",97,"martinknoche.de",NA,"P01100","P"
"98",99,"ninawelt.de",NA,"P11100","P"
"99",100,"silke-schlueter.de",NA,"P05100","P"
"100",101,"eisenacher103.de",NA,"P05100","P"
"101",102,"grrrpfz.org",NA,"P10100","P"
"102",103,"magratknoblauch.de",NA,"P07100","P"
"103",104,"of-kiyaras-wolf-pak.de",NA,"P05100","P"
"104",105,"wissmann-online.net",NA,"P02100","P"
"105",106,"die-schwarze-garde.net",NA,"P09100","P"
"106",107,"erkenntnisatlas.yolasite.com",NA,"P05100","P"
"107",108,"pe-pi.de",NA,"P02100","P"
"108",109,"robert.sedelmaier.at",NA,"P11100","P"
"109",110,"hiebsch-online.de",NA,"P01100","P"
"110",111,"schriever.gmxhome.de",NA,"P01100","P"
"111",112,"marcploechl.info",NA,"P01100","P"
"112",113,"ellrich-schumann.de",NA,"P01100","P"
"113",114,"holgermuench.de",NA,"P01100","P"
"114",115,"harry-kirsch.de",NA,"P01100","P"
"115",116,"cosmann.net",NA,"P01100","P"
"116",117,"sduevel.de",NA,"P01100","P"
"117",118,"klaus-adamhuber.de",NA,"P01100","P"
"118",119,"adunka.de",NA,"P01100","P"
"119",120,"anton-bader.de",NA,"P01100","P"
"120",121,"fam-moeller.info",NA,"P02100","P"
"121",122,"uetz.de",NA,"P02100","P"
"122",123,"schmidtfamilie.de",NA,"P02100","P"
"123",124,"familiemeissner.de",NA,"P02100","P"
"124",125,"kruetzen.de",NA,"P02100","P"
"125",126,"familieseng.de",NA,"P02100","P"
"126",127,"habag.ch",NA,"P02100","P"
"127",128,"bettker-zehren.de",NA,"P02100","P"
"128",129,"von-knobloch.de",NA,"P02100","P"
"129",130,"krone-soest.de",NA,"P02100","P"
"130",131,"strickling.net",NA,"P02100","P"
"131",132,"ute-und-frank-kiefer.de",NA,"P02100","P"
"132",133,"edenhofer.org",NA,"P02100","P"
"133",134,"pappelsee.com",NA,"P02100","P"
"134",135,"behrens-hh.de",NA,"P02100","P"
"135",136,"deesy.info",NA,"P03100","P"
"136",137,"basieg.de",NA,"P03100","P"
"137",138,"benking.de",NA,"P03100","P"
"138",139,"brandmann.net",NA,"P03100","P"
"139",140,"eike-fleer.de",NA,"P03100","P"
"140",141,"linkarchiv.beepworld.de",NA,"P03100","P"
"141",142,"szardien.de",NA,"P03100","P"
"142",143,"bessereweltlinks.de",NA,"P03100","P"
"143",144,"stummiforum.de",NA,"P04100","P"
"144",145,"mercedes-ig.de",NA,"P04100","P"
"145",146,"forum-gartenfreunde.de",NA,"P04100","P"
"146",147,"linux-club.de",NA,"P04100","P"
"147",148,"geoclub.de",NA,"P04100","P"
"148",149,"cacheparadies.de",NA,"P04100","P"
"149",150,"carrera-go.info",NA,"P04100","P"
"150",151,"angeln-24.de",NA,"P04100","P"
"151",152,"forum-haustiere.de",NA,"P04100","P"
"152",153,"symphosius.de",NA,"P05100","P"
"153",154,"lum-bi-ni.info",NA,"P05100","P"
"154",155,"derpade.de",NA,"P05100","P"
