"","domain","tote_seite","catkey","category"
"1","unschuldsvermutung.de",NA,"P13100","P"
"2","haefner-k.de",NA,"P01100","P"
"3","sonnenfluesterer.de",NA,"P07100","P"
"4","vstrauss.com",NA,"P10100","P"
"5","monsterli.ch",NA,"P11100","P"
"6","bienenstube.net",NA,"P07100","P"
"7","joekraus.de",NA,"P01100","P"
"8","ute-und-frank-kiefer.de",NA,"P02100","P"
"9","chl-burkhardt.net",NA,"P11100","P"
"10","4kant.com",NA,"P11100","P"
"11","goldenretriever-zwinger.de",NA,"P12100","P"
"12","klog.kfiles.de",NA,"P11100","P"
"13","joergthomas.de",NA,"P07100","P"
"14","schroederweb.de",NA,NA,"K"
"15","frankkl.de",NA,"P01100","P"
"16","frechener.de",NA,NA,"K"
"17","taschenblog.de",NA,"P05100","P"
"18","total.gmxhome.de",NA,NA,"K"
"19","runck.de",NA,"P02100","P"
"20","pc-blog-berlin.de",NA,"P05100","P"
"21","muessig-berlin.de",NA,"P03100","P"
"22","newsbusters.de",NA,"P05100","P"
"23","harmes.de",NA,"P07100","P"
"24","gaebert.de",NA,"P01100","P"
"25","blueml.com",NA,"P01100","P"
"26","canehl.com",NA,NA,"K"
"27","endl.de",NA,"P01100","P"
"28","christian-reiter.de",NA,"P01100","P"
"29","setter-claim-to-glory.de",NA,"P12100","P"
"30","getmad.de",NA,"P07100","P"
"31","markus-letzner.de",NA,NA,"K"
"32","barasinski.de",NA,"P02100","P"
"33","baumdicker.de",NA,"P01100","P"
"34","trurl.net",NA,"P03100","P"
"35","schlopschnat.de",NA,"P02100","P"
"36","jakobsweg-ab-frankfurt.de",NA,"P07100","P"
"37","foren-liste.de",NA,NA,"K"
"38","sabine.muehlisch.koerpersprache.homepage.ms",NA,NA,"K"
"39","aplitsch.com",NA,"P05100","P"
"40","hagenlehmann.com",NA,"P01100","P"
"41","behrens-hh.de",NA,"P02100","P"
"42","clairweb.de",NA,"P11100","P"
"43","klamonfra.de",NA,"P02100","P"
"44","diedlife.org",NA,"P11100","P"
"45","rechtsprversagt.de",NA,"P05100","P"
"46","luftschiffarchiv.de",NA,"P05100","P"
"47","danyonlloyd.com",NA,"P13100","P"
"48","schriever.gmxhome.de",NA,"P01100","P"
"49","vauban-segeln.de",NA,"P05100","P"
"50","sternmoney.jimdo.com",NA,"P05100","P"
"51","ostfriese-online.de",NA,"P10100","P"
"52","gadgetblog.ch",NA,NA,"K"
"53","barbaraundjoe.de",NA,"P02100","P"
"54","gendat.de",NA,"P05100","P"
"55","golzmaas.de",NA,"P09100","P"
"56","chatterjee.eu",NA,"P02100","P"
"57","kleibel.de",NA,"P11100","P"
"58","gettoweb.de",NA,"P07100","P"
"59","kubicek.org",NA,"P11100","P"
"60","kohnen.info",NA,"P08100","P"
"61","schorch.at",NA,"P05100","P"
"62","detlef-henke.de",NA,"P07100","P"
"63","dudzik.info",NA,"P02100","P"
"64","klebow.de",NA,"P11100","P"
"65","spareribsvernichter.de",NA,"P05100","P"
"66","nachbarschaftliches-wohnen.de",NA,"P05100","P"
"67","gertrud-schuster.de",NA,"P03100","P"
"68","d0wn.biz",NA,"P07100","P"
"69","geheimesleben.de",NA,"P07100","P"
"70","hollybike.de",NA,"P11100","P"
"71","k-kassem.de",NA,"P01100","P"
"72","holgermuench.de",NA,"P01100","P"
"73","lexasleben.de",NA,"P07100","P"
"74","matousek.biz",NA,"P01100","P"
"75","tiberius.de",NA,"P05100","P"
"76","huettenburger.berlin",NA,"P09100","P"
"77","hjcaspar.de",NA,"P11100","P"
"78","ole-bahlmann.de",NA,"P11100","P"
"79","wichtner.de",NA,"P02100","P"
"80","wortkarussell.de",NA,"P05100","P"
"81","europe-cam.com",NA,"P03100","P"
"82","sarah-steinmeyer.de",NA,"P11100","P"
"83","izsak.de",NA,"P02100","P"
"84","tkkj.de",NA,"P02100","P"
"85","achimthepooh.de",NA,"P01100","P"
"86","hoernke.com",NA,NA,"K"
"87","edenhofer.org",NA,"P02100","P"
"88","bjoerntanneberger.de",NA,"P01100","P"
"89","schulzewehninck.de",NA,"P01100","P"
"90","frerichmann.com",NA,"P07100","P"
"91","vetter-mz.de",NA,"P05100","P"
"92","belfor-online.de",NA,"P02100","P"
"93","haerti.de",NA,"P07100","P"
"94","lupulin.de",NA,"P11100","P"
"95","be-mu.de",NA,"P01100","P"
"96","shih-tzu-beyer.de",NA,"P05100","P"
"97","martinknoche.de",NA,"P01100","P"
"98","tenda.de",NA,NA,NA
"99","ninawelt.de",NA,"P11100","P"
"100","silke-schlueter.de",NA,"P05100","P"
"101","eisenacher103.de",NA,"P05100","P"
"102","grrrpfz.org",NA,"P10100","P"
"103","magratknoblauch.de",NA,"P07100","P"
"104","of-kiyaras-wolf-pak.de",NA,"P05100","P"
"105","wissmann-online.net",NA,"P02100","P"
"106","die-schwarze-garde.net",NA,"P09100","P"
"107","erkenntnisatlas.yolasite.com",NA,"P05100","P"
"108","pe-pi.de",NA,"P02100","P"
"109","robert.sedelmaier.at",NA,"P11100","P"
